world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
190,University of Antwerp,Australia,Asia,Continental,14652,12802,No,138,80.32106161,No,Hybrid,84,Regional,98,Medium,No,No,Medium,16.28,No,Active,Full Scholarship,36224.57,No,Full Sponsorship,French,None,Finance,Arts,1853,3,Library,Food Court,13,Apr-30,No,No,22,80,GBP,Regional Award,No,9,10,Yes,Theaters,Good,6.541267991,Not Available,No,Medium,53,No,Yes,75.51937256,Yes
501-600,University of Santiago de Compostela,Canada,Oceania,Tropical,36544,18935,Yes,138,69.98796921,Yes,Online,72,National,77,Medium,No,No,Low,5.63,Yes,Inactive,Partial Scholarship,35874.54,Yes,Full Sponsorship,Mandarin,IELTS,Tech,Arts,1932,4,Labs,Food Court,17,Jan-15,Yes,No,25,80,EUR,Regional Award,Yes,5,7,No,Natural Springs,Excellent,7.708315739,Available,No,Medium,50,No,No,73.16392516,Yes
601-800,Kyungpook National University,UK,Oceania,Temperate,48232,13991,No,138,50.85165003,Yes,Online,82,Regional,62,Low,Yes,No,Medium,5.3,Yes,Active,No Scholarship,22395.46,No,No Sponsorship,German,IELTS,Tech,Engineering,1857,4,Library,Cafeteria,40,Nov-01,Yes,No,16,85,USD,Global Ranking Top 100,No,3,8,No,Historic Bridges,Excellent,9.003214908,Not Available,Yes,Medium,49,No,No,90.12303006,Yes
72,Free University of Berlin,UK,North America,Tropical,46640,17500,Yes,139,86.64723142,Yes,In-person,96,International,99,Medium,No,Yes,High,10,Yes,Active,No Scholarship,49238.15,No,No Sponsorship,English,GRE,Healthcare,Engineering,1854,5,Library,Cafeteria,19,Nov-01,No,Yes,26,80,GBP,National Recognition,No,6,10,Yes,Botanical Reserves,Average,8.360372523,Available,No,Medium,70,Yes,Yes,81.97314564,Yes
93,University of Exeter,Canada,Asia,Continental,13107,11744,Yes,139,60.3378599,No,Hybrid,89,Regional,74,High,Yes,No,Low,11.53,Yes,Inactive,Partial Scholarship,2964.83,Yes,Full Sponsorship,French,IELTS,Consulting,Science,1982,5,Gym,Food Court,31,Nov-01,No,Yes,43,85,GBP,Global Ranking Top 100,Yes,6,10,No,Botanical Gardens,Average,7.370424271,Available,Yes,High,56,No,No,79.93115127,No
201-250,University of Texas at Dallas,Australia,Europe,Tropical,42769,13036,No,139,56.86022634,No,Hybrid,95,Regional,98,Medium,Yes,No,Low,6.87,No,Active,Full Scholarship,30265.21,Yes,Partial Sponsorship,Spanish,GRE,Manufacturing,Technology,1932,4,Labs,Food Court,17,Apr-30,No,Yes,27,85,USD,National Recognition,No,6,7,No,Parks,Good,7.594140836,Not Available,No,Low,26,No,No,81.15963921,Yes
501-600,National Central University,Canada,Asia,Tropical,41001,12425,No,139,70.37139431,Yes,Online,79,Regional,89,Medium,No,Yes,Low,19.23,No,Inactive,No Scholarship,45424.71,No,No Sponsorship,Mandarin,IELTS,Manufacturing,Arts,2006,3,Gym,Cafeteria,12,Nov-01,No,Yes,35,80,USD,Global Ranking Top 100,Yes,1,6,No,Caves,Good,8.926838896,Not Available,No,Low,10,Yes,Yes,76.14638268,Yes
601-800,Austral University of Chile,USA,North America,Tropical,44062,16095,No,140,96.26842109,Yes,Hybrid,88,Regional,94,High,No,No,Medium,9.46,Yes,Inactive,Full Scholarship,13644.15,No,Partial Sponsorship,French,IELTS,Consulting,Science,1988,4,Library,Cafeteria,21,Nov-01,Yes,No,35,80,EUR,Global Ranking Top 100,Yes,7,6,Yes,Religious Sites,Average,6.905006384,Not Available,Yes,High,35,No,No,77.41356067,No
401-500,Brunel University London,USA,Oceania,Continental,19591,22351,Yes,141,77.99616392,No,In-person,85,National,79,High,Yes,Yes,High,10.9,No,Active,Full Scholarship,14113.63,Yes,Full Sponsorship,Mandarin,GRE,Healthcare,Business,1997,4,Gym,Cafeteria,22,Nov-01,Yes,Yes,46,95,USD,National Recognition,Yes,7,7,No,Palaces,Average,9.65622302,Available,Yes,Medium,34,No,No,89.25459788,No
601-800,National University of CÃ³rdoba,Australia,North America,Continental,15689,16916,No,141,99.86732654,No,In-person,72,Regional,79,Medium,Yes,Yes,High,6.44,No,Inactive,Partial Scholarship,33267.86,No,No Sponsorship,Mandarin,None,Tech,Law,1968,3,Library,Food Court,34,Apr-30,Yes,Yes,35,80,EUR,Regional Award,No,0,3,No,Art Galleries,Excellent,6.942496874,Available,No,High,39,Yes,Yes,75.2111202,Yes
201-250,Johannes Gutenberg University of Mainz,USA,North America,Continental,10361,8524,Yes,142,88.15513495,Yes,Hybrid,76,Regional,86,Low,No,No,Medium,11.61,Yes,Active,Partial Scholarship,22256.25,No,Partial Sponsorship,English,None,Consulting,Technology,1961,3,Labs,Food Court,49,Apr-30,No,Yes,25,80,USD,Regional Award,No,9,5,Yes,Waterfronts,Good,7.976597722,Not Available,No,Medium,78,Yes,No,92.96009328,Yes
78,University of TÃ¼bingen,USA,Asia,Tropical,44014,10006,No,143,50.87160902,Yes,Hybrid,71,Regional,91,High,No,Yes,High,18.87,Yes,Active,Partial Scholarship,31928.8,Yes,No Sponsorship,German,IELTS,Consulting,Law,1961,5,Gym,Restaurants,10,Apr-30,No,No,32,90,USD,National Recognition,No,4,6,No,Flea Markets,Excellent,7.651526312,Available,Yes,Low,63,Yes,Yes,94.32637768,No
301-350,York University,UK,North America,Temperate,32506,9763,Yes,143,71.23238969,Yes,Hybrid,70,National,91,Medium,Yes,No,Low,7.54,No,Inactive,No Scholarship,9335.67,No,Partial Sponsorship,Mandarin,GRE,Consulting,Science,1963,4,Sports Complex,Food Court,41,Jan-15,Yes,Yes,37,95,USD,Global Ranking Top 100,No,4,5,Yes,Beaches and Coastal Areas,Excellent,7.230562648,Available,Yes,Low,75,Yes,No,83.25500319,Yes
501-600,University of Texas at Arlington,Canada,Asia,Arid,39516,21689,No,143,55.93823606,No,Online,99,National,68,High,Yes,Yes,Medium,8.3,No,Inactive,No Scholarship,10325.72,Yes,Full Sponsorship,English,IELTS,Tech,Arts,1860,3,Sports Complex,Restaurants,37,Nov-01,Yes,No,18,90,USD,Global Ranking Top 100,Yes,9,2,No,Botanical Reserves,Excellent,8.741089173,Available,Yes,Medium,33,Yes,Yes,84.83707846,No
601-800,YÄ±ldÄ±z Technical University,UK,North America,Continental,28307,8491,No,143,56.94762121,Yes,Online,78,Regional,61,Low,No,Yes,Medium,9.83,No,Active,Partial Scholarship,3544.06,Yes,Partial Sponsorship,English,IELTS,Manufacturing,Arts,1869,3,Sports Complex,Restaurants,8,Nov-01,No,No,19,85,USD,Global Ranking Top 100,Yes,7,6,Yes,Library,Excellent,7.182727874,Available,No,Medium,76,No,No,83.87087022,Yes
301-350,University of Kent,Germany,Europe,Tropical,30476,13428,Yes,144,97.33868101,No,In-person,84,International,75,High,Yes,No,High,19.4,No,Inactive,Partial Scholarship,40327.26,No,No Sponsorship,Mandarin,None,Healthcare,Law,1880,4,Library,Restaurants,7,Apr-30,Yes,No,42,95,GBP,Regional Award,No,2,9,No,Scenic Views,Good,7.597126086,Not Available,Yes,High,20,No,Yes,80.62212861,Yes
401-500,Claude Bernard University Lyon 1,Australia,Asia,Arid,46829,9519,No,144,84.66232375,Yes,Online,71,International,94,Medium,No,No,Low,19.78,No,Inactive,Partial Scholarship,1068.19,Yes,No Sponsorship,Mandarin,None,Consulting,Engineering,1887,4,Labs,Food Court,47,Apr-30,No,No,49,80,GBP,National Recognition,Yes,1,10,No,Sports Stadiums,Excellent,9.890431317,Not Available,Yes,High,10,No,No,74.11804857,Yes
601-800,University of Nairobi,Australia,Europe,Temperate,39242,15185,Yes,145,95.90098988,Yes,Online,81,National,86,Medium,No,No,High,18.84,No,Inactive,Partial Scholarship,47553.45,No,Full Sponsorship,German,None,Finance,Engineering,1958,4,Library,Restaurants,37,Nov-01,Yes,Yes,46,95,GBP,National Recognition,Yes,0,2,No,Piers and Harbors,Average,7.662179832,Available,No,Medium,39,Yes,No,89.20209072,Yes
351-400,University of Modena and Reggio Emilia,USA,North America,Temperate,22466,19018,Yes,148,85.02297923,Yes,Hybrid,70,Regional,66,Medium,Yes,Yes,Medium,17.52,Yes,Active,Partial Scholarship,48944.74,No,Partial Sponsorship,English,None,Finance,Science,1984,5,Labs,Cafeteria,22,Jan-15,No,Yes,26,90,USD,Regional Award,Yes,0,9,Yes,Piers and Harbors,Good,9.401270725,Not Available,No,High,23,No,Yes,73.58127472,No
601-800,Dublin Institute of Technology,Canada,Oceania,Temperate,47407,13253,No,148,81.70647126,No,In-person,76,International,95,Low,No,Yes,Medium,15.61,Yes,Inactive,Full Scholarship,14255.26,Yes,Full Sponsorship,Mandarin,GRE,Consulting,Technology,1830,4,Gym,Cafeteria,42,Jan-15,Yes,Yes,33,90,USD,National Recognition,No,10,6,Yes,Cliffs,Good,8.056268009,Available,No,High,27,No,Yes,97.41297552,Yes
351-400,University of Florence,Canada,Asia,Tropical,34860,19662,Yes,149,71.37964322,No,Online,90,Regional,67,Medium,Yes,Yes,Medium,18.7,No,Active,No Scholarship,28306.14,No,Partial Sponsorship,Spanish,None,Finance,Law,1888,3,Sports Complex,Restaurants,19,Jan-15,Yes,No,17,90,EUR,National Recognition,Yes,6,8,Yes,River Walks,Good,7.229060367,Available,No,High,46,Yes,Yes,94.08824488,No
19,University of Toronto,UK,North America,Arid,47783,10102,Yes,151,54.88526518,No,In-person,77,International,74,High,Yes,Yes,High,12.8,No,Active,Partial Scholarship,22091.85,Yes,No Sponsorship,French,None,Finance,Law,1960,3,Labs,Cafeteria,24,Jan-15,No,Yes,44,80,USD,Global Ranking Top 100,No,7,9,Yes,Theaters,Good,7.690481981,Available,No,Low,83,Yes,No,83.09696401,Yes
22,Carnegie Mellon University,Canada,Asia,Continental,30492,21959,Yes,151,70.52135237,No,Hybrid,98,International,84,Medium,Yes,Yes,High,14.97,Yes,Active,Partial Scholarship,43526.36,Yes,Full Sponsorship,German,TOEFL,Consulting,Science,1848,5,Gym,Restaurants,16,Apr-30,Yes,No,23,95,USD,Regional Award,Yes,1,6,No,Islands,Average,9.253584788,Not Available,Yes,Low,74,No,No,80.42482133,Yes
167,"University of California, Riverside",UK,Oceania,Temperate,43758,8939,No,152,57.89955711,Yes,In-person,87,National,83,Medium,Yes,Yes,Medium,10.66,Yes,Inactive,Full Scholarship,9939.82,No,No Sponsorship,French,GRE,Consulting,Law,1831,4,Labs,Food Court,38,Apr-30,No,Yes,46,80,USD,National Recognition,No,2,1,No,Archaeological Sites,Excellent,6.915420364,Available,Yes,High,23,Yes,Yes,80.47463621,No
351-400,UniversitÃ© Libre de Bruxelles,UK,Oceania,Continental,46683,11718,No,153,87.64099827,Yes,In-person,96,National,75,Medium,No,No,High,7.84,Yes,Active,Full Scholarship,48784.68,Yes,No Sponsorship,French,None,Manufacturing,Business,1995,3,Labs,Restaurants,38,Jan-15,No,No,15,85,EUR,National Recognition,Yes,7,10,No,Theme Parks,Average,7.106831254,Not Available,Yes,Medium,74,No,Yes,97.03582061,Yes
501-600,University of Canberra,Canada,Asia,Continental,18436,8200,No,153,93.83511029,Yes,Hybrid,75,National,76,Low,No,No,Low,16.48,Yes,Inactive,No Scholarship,8922.15,No,No Sponsorship,French,GRE,Finance,Law,1926,3,Labs,Restaurants,35,Apr-30,No,No,39,95,USD,Global Ranking Top 100,Yes,10,1,Yes,Scenic Views,Good,6.528338843,Not Available,Yes,High,15,Yes,No,95.9959805,No
501-600,Indian Institute of Technology Guwahati,India,Asia,Continental,48727,16847,Yes,153,60.56607629,No,Hybrid,88,National,100,Low,No,No,Medium,16.34,No,Active,Partial Scholarship,39942.82,No,Partial Sponsorship,Spanish,IELTS,Finance,Technology,1886,3,Sports Complex,Restaurants,14,Jan-15,No,No,19,80,GBP,Regional Award,Yes,1,2,No,Palaces,Excellent,8.348027893,Available,No,High,76,Yes,Yes,76.96078224,No
601-800,University of Lincoln,UK,Europe,Arid,25119,11974,Yes,153,90.77819195,Yes,In-person,73,International,77,High,No,No,High,17,Yes,Active,Partial Scholarship,35401.81,No,Partial Sponsorship,German,TOEFL,Finance,Engineering,1832,4,Gym,Food Court,45,Apr-30,No,Yes,21,95,GBP,Regional Award,No,3,3,No,Waterfalls,Average,7.282315723,Available,Yes,High,54,No,Yes,71.34343182,No
601-800,University of Huddersfield,Australia,Asia,Tropical,24246,18223,No,155,94.58201439,No,Hybrid,79,International,99,Medium,Yes,Yes,Medium,10,Yes,Inactive,No Scholarship,16323.78,Yes,No Sponsorship,French,TOEFL,Finance,Engineering,1831,3,Sports Complex,Cafeteria,10,Nov-01,No,Yes,41,85,GBP,National Recognition,Yes,5,9,Yes,Temples,Excellent,8.375460391,Available,No,Low,72,No,Yes,93.1672391,Yes
201-250,Chalmers University of Technology,Germany,North America,Tropical,39817,17570,Yes,156,53.5967735,Yes,In-person,74,Regional,94,High,Yes,Yes,Low,12.06,Yes,Inactive,Partial Scholarship,46870.14,Yes,Partial Sponsorship,Spanish,TOEFL,Manufacturing,Engineering,1944,4,Gym,Food Court,40,Jan-15,No,Yes,15,90,USD,Global Ranking Top 100,No,9,6,No,Natural Springs,Average,7.063765629,Available,Yes,Low,33,Yes,Yes,76.81485307,Yes
251-300,King Abdulaziz University,UK,North America,Temperate,40727,16588,Yes,157,75.67262316,Yes,In-person,100,International,82,High,No,Yes,Medium,11.74,Yes,Active,No Scholarship,15271.84,No,Full Sponsorship,Mandarin,IELTS,Manufacturing,Engineering,1864,3,Gym,Food Court,9,Nov-01,No,No,39,95,EUR,Regional Award,No,0,7,No,Theaters,Average,8.829936799,Available,Yes,Low,78,No,No,71.00230643,Yes
601-800,Middlesex University,Canada,Oceania,Continental,28132,12127,Yes,157,73.15787826,No,Online,76,Regional,87,Low,No,No,High,9.77,Yes,Active,Full Scholarship,35391.24,No,Full Sponsorship,French,TOEFL,Finance,Engineering,1899,4,Library,Cafeteria,27,Jan-15,No,Yes,10,80,EUR,Regional Award,No,10,2,No,Opera Houses,Excellent,8.233497668,Available,No,Medium,17,Yes,No,94.68959907,No
201-250,University of Bologna,UK,Asia,Arid,24528,8018,No,159,60.69167144,Yes,Hybrid,85,Regional,78,Medium,Yes,Yes,Medium,8.75,No,Active,Full Scholarship,30755.38,No,Full Sponsorship,Spanish,None,Tech,Business,1866,5,Sports Complex,Restaurants,29,Apr-30,No,Yes,34,85,USD,Regional Award,Yes,5,5,No,Cultural Centers,Excellent,6.517263634,Available,Yes,High,62,Yes,No,91.93196947,Yes
501-600,New Mexico State University,Germany,Asia,Temperate,40262,17401,No,159,94.71579877,Yes,In-person,83,Regional,98,Low,Yes,No,High,7.23,No,Inactive,No Scholarship,21650.66,Yes,Partial Sponsorship,Spanish,TOEFL,Healthcare,Arts,1994,5,Sports Complex,Food Court,15,Apr-30,No,No,26,90,USD,Regional Award,No,8,7,No,Parks,Good,6.225355427,Available,No,Low,92,Yes,Yes,87.37938703,Yes
201-250,Stony Brook University,UK,Asia,Arid,38764,17801,Yes,160,51.46513901,No,In-person,74,National,78,Low,Yes,No,Medium,13.74,No,Active,No Scholarship,41431.02,No,Partial Sponsorship,German,None,Healthcare,Technology,1972,4,Sports Complex,Restaurants,32,Jan-15,No,Yes,35,95,USD,Global Ranking Top 100,Yes,3,1,No,Natural Springs,Good,6.666904695,Available,Yes,High,97,No,No,91.24803512,Yes
301-350,University of Strasbourg,USA,Oceania,Temperate,29252,10514,No,160,76.6099224,No,Hybrid,99,Regional,72,Low,No,Yes,Low,11.33,No,Inactive,Partial Scholarship,24515.78,No,No Sponsorship,Mandarin,IELTS,Manufacturing,Science,2000,3,Sports Complex,Food Court,43,Nov-01,No,Yes,29,95,EUR,Global Ranking Top 100,Yes,1,2,Yes,Historic Bridges,Good,6.954845552,Not Available,No,High,10,No,No,90.60301085,Yes
401-500,Hokkaido University,USA,North America,Tropical,40616,23195,Yes,160,81.06206611,Yes,Hybrid,87,International,91,Low,Yes,Yes,Low,16.7,No,Active,Full Scholarship,15971.54,Yes,Partial Sponsorship,German,TOEFL,Tech,Business,1909,4,Labs,Food Court,11,Nov-01,Yes,Yes,44,85,GBP,National Recognition,Yes,7,9,No,Festivals,Good,9.295723333,Not Available,Yes,Medium,43,Yes,Yes,70.00179604,Yes
501-600,University of Limerick,Canada,North America,Arid,15972,12907,No,160,70.05379126,Yes,In-person,88,National,64,High,Yes,No,Low,12.33,Yes,Active,Partial Scholarship,39161.76,No,Full Sponsorship,German,GRE,Tech,Business,1868,4,Sports Complex,Food Court,23,Jan-15,Yes,No,30,95,GBP,Global Ranking Top 100,No,1,6,Yes,Vineyards,Good,8.514275787,Not Available,Yes,Low,39,Yes,Yes,91.8680566,No
251-300,National Tsing Hua University,USA,Oceania,Tropical,46027,14727,Yes,161,74.8123053,No,Hybrid,80,National,92,Medium,Yes,No,Low,8.28,No,Active,Full Scholarship,34579.76,Yes,No Sponsorship,English,TOEFL,Manufacturing,Business,2018,4,Library,Cafeteria,7,Jan-15,Yes,Yes,44,95,GBP,Global Ranking Top 100,Yes,8,10,Yes,Amusement Parks,Average,9.443682633,Not Available,Yes,High,98,Yes,No,78.76051027,Yes
401-500,University of Macau,USA,Europe,Arid,31178,9862,No,161,77.32094877,No,Hybrid,97,Regional,86,High,No,Yes,Low,15.45,Yes,Active,No Scholarship,16143.15,Yes,No Sponsorship,English,GRE,Tech,Business,1809,4,Labs,Food Court,7,Nov-01,No,No,37,85,USD,Global Ranking Top 100,Yes,7,6,Yes,Sports Stadiums,Excellent,9.366573374,Available,No,High,94,Yes,No,71.58258331,No
196,"St Georgeâ€™s, University of London",UK,Europe,Arid,48654,12699,No,162,77.89919962,No,In-person,91,International,70,High,Yes,No,Low,9.76,No,Active,No Scholarship,7026.2,Yes,Full Sponsorship,French,IELTS,Healthcare,Law,1931,4,Labs,Restaurants,10,Apr-30,Yes,Yes,23,85,USD,National Recognition,Yes,2,10,No,Historic Buildings,Good,7.675443915,Not Available,No,Medium,31,No,Yes,82.98275437,Yes
401-500,University of Siena,UK,Europe,Tropical,27136,21693,No,162,69.10142022,Yes,Hybrid,75,National,76,High,Yes,Yes,Low,16.62,No,Inactive,No Scholarship,26875.87,Yes,Partial Sponsorship,Mandarin,None,Consulting,Engineering,1941,5,Library,Restaurants,28,Nov-01,No,No,48,90,EUR,National Recognition,Yes,3,5,No,Theaters,Average,8.831744713,Not Available,No,Low,20,No,No,85.50949674,Yes
501-600,"University of the Andes, Colombia",Canada,Europe,Temperate,41768,10431,Yes,162,90.95996017,Yes,Hybrid,96,Regional,69,Medium,No,No,Medium,19.94,No,Inactive,Full Scholarship,10250.94,Yes,Full Sponsorship,German,IELTS,Manufacturing,Engineering,1906,4,Sports Complex,Cafeteria,10,Jan-15,Yes,No,16,90,USD,Global Ranking Top 100,No,8,10,No,Ruins,Good,8.737894498,Available,No,Medium,17,Yes,Yes,97.26449024,Yes
301-350,Macquarie University,Germany,Asia,Arid,20266,22109,No,163,67.58236522,No,Online,75,International,97,High,Yes,Yes,Medium,11.71,No,Active,Partial Scholarship,45245.83,No,Partial Sponsorship,Spanish,TOEFL,Healthcare,Technology,2001,3,Library,Restaurants,48,Jan-15,Yes,No,19,90,USD,National Recognition,Yes,6,4,Yes,Lakes,Excellent,8.142497855,Available,No,High,88,Yes,Yes,71.75167649,No
8,Imperial College London,USA,Oceania,Arid,45970,19429,Yes,164,71.24366279,Yes,Online,92,Regional,82,High,No,Yes,Medium,25.53,Yes,Active,No Scholarship,21918.13,Yes,Full Sponsorship,Mandarin,GRE,Manufacturing,Law,1867,4,Gym,Restaurants,31,Apr-30,No,Yes,12,80,USD,Global Ranking Top 100,Yes,1,7,Yes,Mountain Ranges,Good,7.206819457,Not Available,Yes,High,48,Yes,No,91.93836328,No
76,University of Glasgow,Canada,Asia,Temperate,43683,8086,Yes,164,52.30972815,Yes,Hybrid,90,National,63,High,Yes,Yes,Medium,17.73,No,Inactive,Partial Scholarship,15252.33,No,No Sponsorship,French,None,Tech,Business,1964,3,Gym,Restaurants,20,Jan-15,Yes,Yes,13,85,EUR,Global Ranking Top 100,No,0,5,No,Amusement Parks,Good,9.777515637,Available,No,Medium,98,No,No,75.24772562,Yes
113,Purdue University,Germany,North America,Continental,43488,12689,No,164,83.64308539,No,In-person,72,National,71,Low,Yes,Yes,High,6.79,Yes,Active,Full Scholarship,6498.12,Yes,No Sponsorship,English,TOEFL,Consulting,Technology,1950,3,Library,Cafeteria,8,Jan-15,No,No,34,90,EUR,National Recognition,Yes,5,10,No,Beaches and Coastal Areas,Good,9.902781916,Not Available,No,Medium,22,No,No,92.17193206,Yes
601-800,Yeungnam University,Australia,North America,Temperate,26926,12725,Yes,165,81.52650117,No,In-person,81,Regional,84,Medium,Yes,No,Low,17.11,Yes,Active,Full Scholarship,32239.97,Yes,Partial Sponsorship,German,IELTS,Healthcare,Arts,1871,5,Labs,Food Court,11,Apr-30,No,No,31,95,EUR,Regional Award,Yes,7,10,No,National Monuments,Good,9.525641024,Not Available,No,High,35,Yes,No,90.19997604,Yes
182,University of Utah,USA,North America,Tropical,21649,21462,No,166,91.02167163,Yes,Online,95,National,100,High,No,No,Low,11.57,Yes,Inactive,No Scholarship,2822.5,Yes,Partial Sponsorship,German,GRE,Consulting,Business,1990,3,Sports Complex,Food Court,17,Jan-15,Yes,Yes,19,80,USD,Regional Award,Yes,6,8,No,Caves,Good,9.654007415,Available,No,High,55,No,No,91.26781045,No
76,University of Helsinki,UK,Oceania,Tropical,34521,13253,No,167,80.71055164,Yes,Online,97,Regional,72,High,Yes,Yes,Medium,7.81,No,Inactive,No Scholarship,33618.89,No,Partial Sponsorship,Spanish,GRE,Finance,Business,1946,5,Library,Restaurants,49,Apr-30,Yes,Yes,16,85,USD,National Recognition,No,6,2,No,Amusement Parks,Excellent,6.778735575,Not Available,No,Low,57,No,No,94.66385958,No
198,University of Trento,Germany,Europe,Continental,29227,12936,Yes,168,83.80798854,Yes,In-person,80,National,70,High,No,Yes,High,16.34,No,Inactive,Full Scholarship,34403.15,No,Partial Sponsorship,Spanish,GRE,Tech,Business,1978,5,Labs,Cafeteria,14,Nov-01,Yes,Yes,11,90,GBP,Regional Award,No,2,1,Yes,Cultural Centers,Average,7.427509107,Not Available,No,High,40,No,No,97.78868773,No
201-250,University of South Florida,UK,Asia,Tropical,25031,24593,No,168,93.94478797,No,Hybrid,99,National,85,High,No,No,Medium,17.57,Yes,Inactive,Full Scholarship,17830.58,Yes,Full Sponsorship,Mandarin,None,Manufacturing,Business,1958,4,Labs,Restaurants,28,Apr-30,Yes,No,24,80,EUR,Global Ranking Top 100,Yes,7,3,No,Festivals,Average,6.293239606,Not Available,No,Low,25,No,No,83.69180626,No
176,University College Dublin,Canada,Oceania,Continental,49796,11938,No,169,60.91753139,Yes,Hybrid,96,National,91,Low,Yes,Yes,Low,5.37,No,Inactive,Partial Scholarship,11240.89,Yes,Full Sponsorship,German,None,Healthcare,Law,1824,5,Gym,Restaurants,49,Jan-15,Yes,Yes,50,90,USD,Global Ranking Top 100,Yes,7,4,No,Temples,Excellent,9.370091529,Available,Yes,Medium,75,No,Yes,78.03768519,Yes
601-800,University of Patras,UK,Oceania,Temperate,37164,9840,Yes,169,60.82806483,Yes,In-person,97,International,87,Low,Yes,Yes,Low,14.26,No,Inactive,Full Scholarship,15349.13,Yes,Full Sponsorship,French,TOEFL,Consulting,Business,1825,4,Labs,Food Court,40,Jan-15,No,Yes,45,95,EUR,Global Ranking Top 100,Yes,3,3,No,Parks,Good,8.599457802,Not Available,No,High,73,Yes,Yes,95.54877005,Yes
351-400,University of Houston,UK,Asia,Continental,45291,15073,No,170,51.19473455,No,Hybrid,91,Regional,76,High,No,No,Low,16.76,No,Inactive,Full Scholarship,24216.25,No,Full Sponsorship,Mandarin,TOEFL,Healthcare,Engineering,1908,5,Labs,Food Court,26,Nov-01,Yes,No,37,90,EUR,National Recognition,No,2,7,Yes,Zoos,Excellent,6.562687919,Not Available,No,Low,74,Yes,No,88.4405741,No
501-600,University of Tulsa,Canada,Europe,Tropical,34244,18166,No,170,63.78283272,Yes,In-person,79,National,86,Low,Yes,Yes,High,19.65,No,Inactive,No Scholarship,28044.14,Yes,Partial Sponsorship,English,GRE,Manufacturing,Arts,1931,3,Sports Complex,Cafeteria,18,Nov-01,Yes,No,45,90,USD,Regional Award,No,4,3,No,Opera Houses,Excellent,7.850829414,Available,Yes,High,14,No,Yes,85.13360887,Yes
401-500,American University,USA,Asia,Arid,13298,9767,Yes,171,77.57141985,Yes,Online,90,National,92,Low,Yes,Yes,Low,8.71,Yes,Inactive,Full Scholarship,6727.99,Yes,Full Sponsorship,English,IELTS,Finance,Engineering,1903,5,Library,Cafeteria,43,Nov-01,Yes,Yes,21,85,EUR,Regional Award,No,3,7,Yes,Historic Bridges,Excellent,6.568442678,Not Available,No,High,92,Yes,Yes,77.74444349,Yes
401-500,Xiamen University,USA,North America,Continental,30589,8333,No,171,90.31782447,No,Hybrid,73,National,82,High,No,Yes,Medium,5.36,No,Inactive,No Scholarship,14319.7,Yes,Full Sponsorship,Mandarin,TOEFL,Finance,Engineering,1836,4,Gym,Cafeteria,20,Jan-15,No,Yes,41,85,USD,National Recognition,Yes,9,7,No,Historical Sites,Good,9.223285512,Not Available,No,Low,47,No,Yes,86.42622782,Yes
601-800,Prince of Songkla University,Germany,Asia,Arid,41001,16798,No,172,52.42269663,Yes,Online,74,Regional,87,Low,No,Yes,High,19.37,Yes,Inactive,Partial Scholarship,23228.26,No,Full Sponsorship,German,TOEFL,Tech,Engineering,1843,5,Gym,Cafeteria,25,Jan-15,No,Yes,20,80,USD,Global Ranking Top 100,Yes,9,10,Yes,Beaches and Coastal Areas,Good,9.481437864,Not Available,No,Medium,81,No,No,96.83528516,No
601-800,University of Marrakech Cadi Ayyad,USA,Asia,Arid,44795,24128,Yes,173,57.06482594,Yes,Online,78,National,92,Low,Yes,Yes,Low,11.21,No,Active,Partial Scholarship,7647.75,No,Full Sponsorship,English,None,Tech,Technology,1880,4,Sports Complex,Cafeteria,49,Nov-01,Yes,Yes,33,80,GBP,Regional Award,No,6,8,Yes,Botanical Reserves,Good,8.13633309,Not Available,Yes,Low,30,No,No,90.02868178,Yes
501-600,University of Granada,USA,Asia,Tropical,30748,18913,Yes,174,62.59081518,No,In-person,84,National,65,High,No,No,Medium,8.29,Yes,Inactive,Full Scholarship,46841.36,Yes,Partial Sponsorship,French,GRE,Tech,Law,1943,4,Labs,Food Court,45,Nov-01,No,Yes,42,85,USD,Regional Award,No,8,3,No,Theaters,Average,9.756804912,Available,Yes,Low,52,Yes,No,95.30433636,No
